SpinNumber,BetAmount,SpinWin,ActualRTP,HitRate,IsFreeSpin,FreeSpinsRemaining
1,25,5,20.00%,100.00%,False,0
2,25,50.5,111.00%,100.00%,False,0
3,25,0,74.00%,66.67%,False,0
4,25,0,55.50%,50.00%,False,0
5,25,1.5,45.60%,60.00%,False,0
6,25,5,41.33%,66.67%,False,0
7,25,0.2,35.54%,71.43%,False,0
8,25,0.5,31.35%,75.00%,False,0
9,25,0.2,27.96%,77.78%,False,0
10,25,0,25.16%,70.00%,False,0
11,25,0.2,22.95%,72.73%,False,0
12,25,50,37.70%,75.00%,False,0
13,25,0,34.80%,69.23%,False,0
14,25,0.5,32.46%,71.43%,False,0
15,25,375,130.29%,73.33%,False,10
16,25,0,122.15%,68.75%,True,9
17,25,0,114.96%,64.71%,True,8
18,25,0,108.58%,61.11%,True,7
19,25,0,102.86%,57.89%,True,6
20,25,50,107.72%,60.00%,True,5
21,25,0,102.59%,57.14%,True,4
22,25,0,97.93%,54.55%,True,3
23,25,15,96.28%,56.52%,True,2
24,25,1.5,92.52%,58.33%,True,1
25,25,0,88.82%,56.00%,True,0
26,25,7,86.48%,57.69%,False,0
27,25,0,83.27%,55.56%,False,0
28,25,0,80.30%,53.57%,False,0
29,25,0,77.53%,51.72%,False,0
30,25,0,74.95%,50.00%,False,0
31,25,10,73.82%,51.61%,False,0
32,25,0,71.51%,50.00%,False,0
33,25,1.5,69.53%,51.52%,False,0
34,25,0,67.48%,50.00%,False,0
35,25,100,76.98%,51.43%,False,10
36,25,0,74.84%,50.00%,True,9
37,25,0,72.82%,48.65%,True,8
38,25,0,70.91%,47.37%,True,7
39,25,0,69.09%,46.15%,True,6
40,25,0,67.36%,45.00%,True,5
41,25,0,65.72%,43.90%,True,4
42,25,1.5,64.30%,45.24%,True,3
43,25,4.5,63.22%,46.51%,True,2
44,25,50,66.33%,47.73%,True,1
45,25,1.5,64.99%,48.89%,True,0
46,25,50,67.92%,50.00%,False,0
47,25,10,67.33%,51.06%,False,0
48,25,0,65.92%,50.00%,False,0
49,25,1.5,64.70%,51.02%,False,0
50,25,0,63.41%,50.00%,False,0
51,25,5,62.56%,50.98%,False,0
52,25,0,61.35%,50.00%,False,0
53,25,0.5,60.23%,50.94%,False,0
54,25,0,59.12%,50.00%,False,0
55,25,0,58.04%,49.09%,False,0
56,25,50,60.58%,50.00%,False,0
57,25,100,66.53%,50.88%,False,10
58,25,0,65.39%,50.00%,True,9
59,25,4.5,64.58%,50.85%,True,8
60,25,0,63.51%,50.00%,True,7
61,25,0,62.47%,49.18%,True,6
62,25,50,64.68%,50.00%,True,5
63,25,1.5,63.75%,50.79%,True,4
64,25,4.5,63.04%,51.56%,True,3
65,25,0.6000000000000001,62.10%,52.31%,True,2
66,25,0,61.16%,51.52%,True,1
67,25,0,60.25%,50.75%,True,0
68,25,0,59.36%,50.00%,False,0
69,25,1.5,58.59%,50.72%,False,0
70,25,0,57.75%,50.00%,False,0
71,25,100.2,62.59%,50.70%,False,10
72,25,0,61.72%,50.00%,True,9
73,25,1.5,60.95%,50.68%,True,8
74,25,0,60.13%,50.00%,True,7
75,25,15,60.13%,50.67%,True,6
76,25,1.5,59.42%,51.32%,True,5
77,25,0,58.64%,50.65%,True,4
78,25,0,57.89%,50.00%,True,3
79,25,0,57.16%,49.37%,True,2
80,25,0,56.45%,48.75%,True,1
81,25,4.5,55.97%,49.38%,True,0
82,25,50,57.73%,50.00%,False,0
83,25,0,57.03%,49.40%,False,0
84,25,100,61.11%,50.00%,False,10
85,25,0.6000000000000001,60.42%,50.59%,True,9
86,25,0,59.72%,50.00%,True,8
87,25,0.6000000000000001,59.06%,50.57%,True,7
88,25,0,58.39%,50.00%,True,6
89,25,15,58.41%,50.56%,True,5
90,25,0,57.76%,50.00%,True,4
91,25,0,57.13%,49.45%,True,3
92,25,0,56.50%,48.91%,True,2
93,25,4.5,56.09%,49.46%,True,1
94,25,0,55.49%,48.94%,True,0
95,25,5,55.12%,49.47%,False,0
96,25,5,54.75%,50.00%,False,0
97,25,50,56.25%,50.52%,False,0
98,25,0,55.68%,50.00%,False,0
99,25,0,55.12%,49.49%,False,0
100,25,50,56.56%,50.00%,False,0
101,25,0,56.00%,49.50%,False,0
102,25,5,55.65%,50.00%,False,0
103,25,50,57.05%,50.49%,False,0
104,25,0,56.50%,50.00%,False,0
