SpinNumber,BetAmount,SpinWin,ActualRTP,HitRate,IsFreeSpin,FreeSpinsRemaining,ReelSetName,ExpectedRTP
1,25,5,20.00%,100.00%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
2,25,1.5,13.00%,100.00%,False,0,MidRtpSet_26,48.37%
3,25,0.2,8.93%,100.00%,False,0,HighRtpSet_36,53.55%
4,25,50,56.70%,100.00%,False,0,HighRtpSet_43,87.86%
5,25,0,45.36%,80.00%,False,0,HighRtpSet_44,55.35%
6,25,0,37.80%,66.67%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
7,25,0,32.40%,57.14%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
8,25,50,53.35%,62.50%,False,0,HighRtpSet_35,77.84%
9,25,0,47.42%,55.56%,False,0,HighRtpSet_41,110.00%
10,25,50,62.68%,60.00%,False,0,LowRtpSet_3,50.57%
11,25,0,56.98%,54.55%,False,0,HighRtpSet_43,46.25%
12,25,0,52.23%,50.00%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
13,25,50,63.60%,53.85%,False,0,HighRtpSet_44,110.00%
14,25,51.5,73.77%,57.14%,False,0,HighRtpSet_48,61.67%
15,25,0,68.85%,53.33%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
16,25,0,64.55%,50.00%,False,0,HighRtpSet_39,52.63%
17,25,5.2,61.98%,52.94%,False,0,HighRtpSet_33,86.77%
18,25,0,58.53%,50.00%,False,0,HighRtpSet_41,87.47%
19,25,50,65.98%,52.63%,False,0,HighRtpSet_32,77.70%
20,25,100,82.68%,55.00%,False,10,HighRtpSet_33,110.00%
21,25,0,78.74%,52.38%,True,9,SAFE_FALLBACK_REAL_SET,30.00%
22,25,50,84.25%,54.55%,True,8,SAFE_FALLBACK_REAL_SET,30.00%
23,25,0,80.59%,52.17%,True,7,SAFE_FALLBACK_REAL_SET,30.00%
24,25,0,77.23%,50.00%,True,6,SAFE_FALLBACK_REAL_SET,30.00%
25,25,0,74.14%,48.00%,True,5,SAFE_FALLBACK_REAL_SET,30.00%
26,25,22.5,74.75%,50.00%,True,4,SAFE_FALLBACK_REAL_SET,30.00%
27,25,1.5,72.21%,51.85%,True,3,SAFE_FALLBACK_REAL_SET,30.00%
28,25,1.5,69.84%,53.57%,True,2,SAFE_FALLBACK_REAL_SET,30.00%
29,25,0,67.43%,51.72%,True,1,SAFE_FALLBACK_REAL_SET,30.00%
30,25,0,65.19%,50.00%,True,0,SAFE_FALLBACK_REAL_SET,30.00%
31,25,2.5,63.41%,51.61%,False,0,HighRtpSet_48,110.00%
32,25,50,67.67%,53.12%,False,0,HighRtpSet_49,80.83%
33,25,50,71.68%,54.55%,False,0,MidRtpSet_21,46.13%
34,25,0,69.58%,52.94%,False,0,HighRtpSet_47,87.54%
35,25,5,68.16%,54.29%,False,0,HighRtpSet_44,50.03%
36,25,51.5,71.99%,55.56%,False,0,MidRtpSet_21,50.08%
37,25,0.5,70.10%,56.76%,False,0,MidRtpSet_19,90.56%
38,25,0,68.25%,55.26%,False,0,MidRtpSet_27,53.07%
39,25,0,66.50%,53.85%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
40,25,0,64.84%,52.50%,False,0,HighRtpSet_33,110.00%
41,25,0,63.26%,51.22%,False,0,HighRtpSet_46,84.37%
42,25,0,61.75%,50.00%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
43,25,5,60.78%,51.16%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
44,25,0,59.40%,50.00%,False,0,HighRtpSet_32,51.19%
45,25,10,58.97%,51.11%,False,0,HighRtpSet_41,55.62%
46,25,0,57.69%,50.00%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
47,25,0,56.46%,48.94%,False,0,HighRtpSet_32,83.80%
48,25,1.5,55.41%,50.00%,False,0,HighRtpSet_32,78.47%
49,25,0,54.28%,48.98%,False,0,HighRtpSet_45,46.05%
50,25,5,53.59%,50.00%,False,0,HighRtpSet_47,51.71%
51,25,0,52.54%,49.02%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
52,25,5,51.92%,50.00%,False,0,HighRtpSet_36,54.77%
53,25,5,51.31%,50.94%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
54,25,50,54.07%,51.85%,False,0,HighRtpSet_50,57.11%
55,25,0,53.08%,50.91%,False,0,HighRtpSet_36,53.92%
56,25,0,52.14%,50.00%,False,0,HighRtpSet_41,75.07%
57,25,1.5,51.33%,50.88%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
58,25,5,50.79%,51.72%,False,0,HighRtpSet_34,75.71%
59,25,625,92.30%,52.54%,False,10,HighRtpSet_43,82.62%
60,25,30,92.76%,53.33%,True,9,MidRtpSet_26,85.03%
61,25,0,91.24%,52.46%,True,8,SAFE_FALLBACK_REAL_SET,30.00%
62,25,0,89.77%,51.61%,True,7,SAFE_FALLBACK_REAL_SET,30.00%
63,25,0,88.34%,50.79%,True,6,SAFE_FALLBACK_REAL_SET,30.00%
64,25,0,86.96%,50.00%,True,5,SAFE_FALLBACK_REAL_SET,30.00%
65,25,0,85.62%,49.23%,True,4,SAFE_FALLBACK_REAL_SET,30.00%
66,25,0,84.33%,48.48%,True,3,SAFE_FALLBACK_REAL_SET,30.00%
67,25,15,83.96%,49.25%,True,2,SAFE_FALLBACK_REAL_SET,30.00%
68,25,30,84.49%,50.00%,True,1,SAFE_FALLBACK_REAL_SET,30.00%
69,25,0,83.27%,49.28%,True,0,SAFE_FALLBACK_REAL_SET,30.00%
70,25,50,84.94%,50.00%,False,0,HighRtpSet_49,78.44%
71,25,6.5,84.11%,50.70%,False,0,HighRtpSet_49,79.59%
72,25,0,82.94%,50.00%,False,0,HighRtpSet_42,55.37%
73,25,0.5,81.83%,50.68%,False,0,MidRtpSet_26,81.94%
74,25,0,80.72%,50.00%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
75,25,50,82.31%,50.67%,False,0,HighRtpSet_37,57.44%
76,25,50,83.86%,51.32%,False,0,HighRtpSet_47,64.48%
77,25,0,82.77%,50.65%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
78,25,1.5,81.79%,51.28%,False,0,HighRtpSet_39,51.20%
79,25,0,80.75%,50.63%,False,0,HighRtpSet_31,80.53%
80,25,0,79.75%,50.00%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
81,25,1.5,78.83%,50.62%,False,0,HighRtpSet_45,74.00%
