SpinNumber,BetAmount,SpinWin,ActualRTP,HitRate,IsFreeSpin,FreeSpinsRemaining,ReelSetName,ExpectedRTP
1,25,0.2,0.80%,100.00%,False,0,HighRtpSet_37,85.35%
2,25,0.2,0.80%,100.00%,False,0,MidRtpSet_18,102.12%
3,25,100,133.87%,100.00%,False,10,HighRtpSet_46,92.32%
4,25,0.6000000000000001,101.00%,100.00%,True,9,MidRtpSet_18,40.57%
5,25,100,160.80%,100.00%,True,8,MidRtpSet_22,82.32%
6,25,0.6000000000000001,134.40%,100.00%,True,7,MidRtpSet_30,87.38%
7,25,0,115.20%,85.71%,True,6,SAFE_FALLBACK_REAL_SET,30.00%
8,25,0,100.80%,75.00%,True,5,MidRtpSet_29,79.82%
9,25,0,89.60%,66.67%,True,4,MidRtpSet_21,80.79%
10,25,0,80.64%,60.00%,True,3,MidRtpSet_19,86.40%
11,25,0,73.31%,54.55%,True,2,MidRtpSet_22,40.95%
12,25,0,67.20%,50.00%,True,1,MidRtpSet_25,50.22%
13,25,15,66.65%,53.85%,True,0,MidRtpSet_19,35.18%
14,25,0,61.89%,50.00%,False,0,HighRtpSet_40,93.10%
15,25,1.5,58.16%,53.33%,False,0,HighRtpSet_35,90.33%
16,25,0,54.52%,50.00%,False,0,MidRtpSet_25,36.92%
17,25,50.2,63.13%,52.94%,False,0,HighRtpSet_38,80.58%
18,25,5,60.73%,55.56%,False,0,MidRtpSet_30,56.61%
19,25,0,57.54%,52.63%,False,0,MidRtpSet_28,53.02%
20,25,0,54.66%,50.00%,False,0,HighRtpSet_46,79.97%
21,25,1.5,52.34%,52.38%,False,0,MidRtpSet_19,53.61%
22,25,50,59.05%,54.55%,False,0,MidRtpSet_26,88.03%
23,25,0,56.49%,52.17%,False,0,LowRtpSet_8,46.49%
24,25,50,62.47%,54.17%,False,0,MidRtpSet_19,74.45%
25,25,0,59.97%,52.00%,False,0,HighRtpSet_47,87.26%
26,25,0,57.66%,50.00%,False,0,HighRtpSet_45,38.16%
27,25,0.2,55.56%,51.85%,False,0,HighRtpSet_44,82.39%
28,25,0,53.57%,50.00%,False,0,HighRtpSet_40,42.84%
29,25,625,137.93%,51.72%,False,10,HighRtpSet_40,83.07%
30,25,0,133.33%,50.00%,True,9,SAFE_FALLBACK_REAL_SET,30.00%
31,25,0,129.03%,48.39%,True,8,MidRtpSet_18,84.47%
32,25,0,125.00%,46.88%,True,7,MidRtpSet_18,58.65%
33,25,0,121.21%,45.45%,True,6,MidRtpSet_20,35.52%
34,25,0,117.65%,44.12%,True,5,MidRtpSet_22,110.00%
35,25,0,114.29%,42.86%,True,4,MidRtpSet_30,40.78%
36,25,0,111.11%,41.67%,True,3,MidRtpSet_26,39.87%
37,25,0,108.11%,40.54%,True,2,MidRtpSet_17,52.20%
38,25,0,105.26%,39.47%,True,1,SAFE_FALLBACK_REAL_SET,30.00%
39,25,0,102.56%,38.46%,True,0,MidRtpSet_22,88.73%
40,25,50,105.00%,40.00%,False,0,LowRtpSet_13,110.00%
41,25,0,102.44%,39.02%,False,0,HighRtpSet_46,40.32%
42,25,0,100.00%,38.10%,False,0,HighRtpSet_43,81.10%
43,25,0,97.67%,37.21%,False,0,HighRtpSet_46,79.87%
44,25,0.2,95.47%,38.64%,False,0,HighRtpSet_38,93.36%
45,25,0,93.35%,37.78%,False,0,HighRtpSet_39,91.94%
46,25,7.5,91.97%,39.13%,False,0,HighRtpSet_36,110.00%
47,25,0,90.02%,38.30%,False,0,MidRtpSet_27,110.00%
48,25,0,88.14%,37.50%,False,0,HighRtpSet_49,60.39%
49,25,50,90.42%,38.78%,False,0,HighRtpSet_45,110.00%
50,25,0,88.62%,38.00%,False,0,HighRtpSet_43,59.81%
51,25,5,87.27%,39.22%,False,0,HighRtpSet_50,78.90%
52,25,50,89.44%,40.38%,False,0,HighRtpSet_45,88.74%
53,25,5.2,88.14%,41.51%,False,0,MidRtpSet_27,58.45%
54,25,50,90.21%,42.59%,False,0,MidRtpSet_21,58.88%
55,25,0,88.57%,41.82%,False,0,HighRtpSet_46,70.32%
56,25,0,86.99%,41.07%,False,0,MidRtpSet_17,74.96%
57,25,50.5,89.01%,42.11%,False,0,HighRtpSet_42,78.11%
58,25,0,87.48%,41.38%,False,0,HighRtpSet_47,60.10%
59,25,100,92.77%,42.37%,False,10,HighRtpSet_34,110.00%
60,25,0,91.23%,41.67%,True,9,MidRtpSet_26,37.29%
61,25,50,93.01%,42.62%,True,8,MidRtpSet_22,56.88%
62,25,0,91.51%,41.94%,True,7,MidRtpSet_21,65.98%
63,25,0,90.06%,41.27%,True,6,MidRtpSet_20,36.83%
64,25,0,88.65%,40.62%,True,5,MidRtpSet_27,52.66%
65,25,0,87.29%,40.00%,True,4,MidRtpSet_27,57.29%
66,25,50,88.99%,40.91%,True,3,MidRtpSet_16,36.03%
67,25,0,87.67%,40.30%,True,2,MidRtpSet_28,49.80%
68,25,19.5,87.52%,41.18%,True,1,SAFE_FALLBACK_REAL_SET,30.00%
69,25,100,92.05%,42.03%,True,0,MidRtpSet_28,72.14%
70,25,50,93.59%,42.86%,False,0,HighRtpSet_49,110.00%
71,25,0,92.28%,42.25%,False,0,HighRtpSet_40,64.57%
72,25,0,90.99%,41.67%,False,0,HighRtpSet_38,79.55%
73,25,50,92.49%,42.47%,False,0,HighRtpSet_47,81.63%
74,25,0,91.24%,41.89%,False,0,HighRtpSet_42,80.34%
75,25,0,90.02%,41.33%,False,0,LowRtpSet_5,89.30%
76,25,0,88.84%,40.79%,False,0,HighRtpSet_36,58.64%
77,25,10,88.20%,41.56%,False,0,HighRtpSet_37,82.39%
78,25,12.5,87.71%,42.31%,False,0,HighRtpSet_47,69.51%
79,25,5,86.86%,43.04%,False,0,HighRtpSet_38,91.43%
80,25,50,88.27%,43.75%,False,0,HighRtpSet_48,85.26%
81,25,0,87.18%,43.21%,False,0,MidRtpSet_23,37.72%
82,25,5,86.36%,43.90%,False,0,HighRtpSet_48,41.62%
83,25,1.5,85.39%,44.58%,False,0,HighRtpSet_33,69.19%
84,25,55,87.00%,45.24%,False,0,MidRtpSet_28,110.00%
85,25,0.2,85.98%,45.88%,False,0,LowRtpSet_7,54.08%
86,25,0,84.98%,45.35%,False,0,MidRtpSet_17,81.40%
87,25,625,112.74%,45.98%,False,10,HighRtpSet_40,110.00%
88,25,0,111.46%,45.45%,True,9,MidRtpSet_29,50.14%
89,25,0,110.21%,44.94%,True,8,SAFE_FALLBACK_REAL_SET,30.00%
90,25,50,111.20%,45.56%,True,7,MidRtpSet_27,54.73%
91,25,0,109.98%,45.05%,True,6,MidRtpSet_19,60.49%
92,25,15,109.44%,45.65%,True,5,MidRtpSet_18,38.09%
93,25,0,108.26%,45.16%,True,4,MidRtpSet_24,35.19%
94,25,0,107.11%,44.68%,True,3,MidRtpSet_25,46.15%
95,25,50,108.09%,45.26%,True,2,MidRtpSet_17,75.67%
96,25,50,109.05%,45.83%,True,1,MidRtpSet_28,48.62%
97,25,0,107.92%,45.36%,True,0,MidRtpSet_26,43.68%
98,25,51.5,108.92%,45.92%,False,0,HighRtpSet_49,79.37%
99,25,0,107.82%,45.45%,False,0,HighRtpSet_38,51.55%
100,25,0,106.74%,45.00%,False,0,HighRtpSet_45,52.12%
101,25,0,105.69%,44.55%,False,0,HighRtpSet_50,86.31%
102,25,0,104.65%,44.12%,False,0,HighRtpSet_34,80.01%
103,25,1.5,103.69%,44.66%,False,0,HighRtpSet_49,76.03%
104,25,0,102.70%,44.23%,False,0,HighRtpSet_31,76.12%
105,25,5,101.91%,44.76%,False,0,MidRtpSet_23,77.33%
106,25,0,100.95%,44.34%,False,0,HighRtpSet_38,89.25%
107,25,0,100.00%,43.93%,False,0,HighRtpSet_49,110.00%
108,25,0,99.08%,43.52%,False,0,HighRtpSet_37,87.41%
109,25,0,98.17%,43.12%,False,0,HighRtpSet_50,69.94%
110,25,100,100.91%,43.64%,False,10,MidRtpSet_17,58.54%
111,25,0,100.00%,43.24%,True,9,SAFE_FALLBACK_REAL_SET,30.00%
112,25,0,99.11%,42.86%,True,8,MidRtpSet_18,35.90%
113,25,0,98.23%,42.48%,True,7,MidRtpSet_20,80.62%
114,25,1.5,97.42%,42.98%,True,6,SAFE_FALLBACK_REAL_SET,30.00%
115,25,0,96.58%,42.61%,True,5,MidRtpSet_22,57.03%
116,25,4.5,95.90%,43.10%,True,4,MidRtpSet_19,82.67%
117,25,0,95.08%,42.74%,True,3,SAFE_FALLBACK_REAL_SET,30.00%
118,25,0.6000000000000001,94.29%,43.22%,True,2,MidRtpSet_26,51.06%
119,25,0,93.50%,42.86%,True,1,MidRtpSet_20,88.38%
120,25,0,92.72%,42.50%,True,0,SAFE_FALLBACK_REAL_SET,30.00%
121,25,4,92.09%,42.98%,False,0,HighRtpSet_46,59.11%
122,25,0,91.33%,42.62%,False,0,HighRtpSet_48,59.80%
123,25,0,90.59%,42.28%,False,0,HighRtpSet_35,80.84%
124,25,0,89.86%,41.94%,False,0,HighRtpSet_48,87.56%
125,25,0.5,89.16%,42.40%,False,0,HighRtpSet_44,85.86%
126,25,0,88.45%,42.06%,False,0,HighRtpSet_45,110.00%
127,25,55,89.49%,42.52%,False,0,MidRtpSet_24,84.94%
128,25,55,90.51%,42.97%,False,0,HighRtpSet_32,110.00%
129,25,0,89.80%,42.64%,False,0,MidRtpSet_21,59.07%
130,25,50,90.65%,43.08%,False,0,HighRtpSet_41,110.00%
131,25,9,90.24%,43.51%,False,0,HighRtpSet_42,99.48%
132,25,5,89.70%,43.94%,False,0,MidRtpSet_21,49.36%
133,25,0,89.03%,43.61%,False,0,LowRtpSet_12,77.21%
134,25,50,89.86%,44.03%,False,0,HighRtpSet_36,83.38%
135,25,0,89.19%,43.70%,False,0,MidRtpSet_28,81.40%
136,25,0,88.54%,43.38%,False,0,HighRtpSet_37,84.82%
137,25,0,87.89%,43.07%,False,0,HighRtpSet_32,68.28%
138,25,0,87.25%,42.75%,False,0,HighRtpSet_46,71.91%
139,25,50,88.06%,43.17%,False,0,HighRtpSet_41,110.00%
140,25,0,87.43%,42.86%,False,0,HighRtpSet_48,85.34%
141,25,10,87.10%,43.26%,False,0,HighRtpSet_46,64.01%
142,25,50,87.89%,43.66%,False,0,HighRtpSet_31,79.97%
143,25,7.5,87.49%,44.06%,False,0,MidRtpSet_19,63.31%
144,25,0,86.88%,43.75%,False,0,HighRtpSet_40,110.00%
145,25,5,86.42%,44.14%,False,0,HighRtpSet_43,60.70%
146,25,50,87.20%,44.52%,False,0,HighRtpSet_36,60.56%
147,25,50,87.96%,44.90%,False,0,HighRtpSet_31,80.86%
148,25,50,88.72%,45.27%,False,0,HighRtpSet_48,99.92%
149,25,0,88.13%,44.97%,False,0,HighRtpSet_35,81.11%
150,25,0,87.54%,44.67%,False,0,HighRtpSet_35,64.89%
151,25,5,87.09%,45.03%,False,0,HighRtpSet_38,105.29%
152,25,1.5,86.56%,45.39%,False,0,HighRtpSet_34,81.07%
153,25,0.5,86.01%,45.75%,False,0,HighRtpSet_45,59.50%
154,25,50,86.75%,46.10%,False,0,HighRtpSet_31,66.04%
155,25,2.5,86.25%,46.45%,False,0,HighRtpSet_38,87.26%
156,25,0,85.70%,46.15%,False,0,HighRtpSet_42,78.86%
157,25,50,86.43%,46.50%,False,0,HighRtpSet_45,66.04%
158,25,5,86.01%,46.84%,False,0,MidRtpSet_18,77.29%
159,25,1.5,85.50%,47.17%,False,0,HighRtpSet_36,75.03%
160,25,1.5,85.00%,47.50%,False,0,LowRtpSet_10,84.51%
161,25,50,85.72%,47.83%,False,0,HighRtpSet_38,78.64%
162,25,50,86.42%,48.15%,False,0,LowRtpSet_3,44.83%
163,25,0,85.89%,47.85%,False,0,HighRtpSet_41,64.84%
164,25,0.5,85.38%,48.17%,False,0,HighRtpSet_34,88.25%
165,25,1.5,84.90%,48.48%,False,0,HighRtpSet_35,66.17%
166,25,55,85.72%,48.80%,False,0,HighRtpSet_40,89.49%
167,25,0.5,85.21%,49.10%,False,0,HighRtpSet_33,110.00%
168,25,55,86.02%,49.40%,False,0,HighRtpSet_45,110.00%
169,25,50,86.69%,49.70%,False,0,HighRtpSet_37,79.98%
170,25,100,88.53%,50.00%,False,0,HighRtpSet_39,61.92%
171,25,0,88.02%,49.71%,False,0,LowRtpSet_8,58.70%
172,25,0,87.50%,49.42%,False,0,HighRtpSet_35,61.63%
173,25,0.5,87.01%,49.71%,False,0,LowRtpSet_2,47.54%
174,25,50,87.66%,50.00%,False,0,LowRtpSet_7,62.42%
175,25,50,88.30%,50.29%,False,0,HighRtpSet_48,61.63%
176,25,0,87.80%,50.00%,False,0,MidRtpSet_25,79.46%
177,25,0,87.30%,49.72%,False,0,LowRtpSet_13,78.40%
178,25,50,87.94%,50.00%,False,0,HighRtpSet_45,110.00%
179,25,50,88.56%,50.28%,False,0,HighRtpSet_40,73.91%
180,25,0,88.07%,50.00%,False,0,HighRtpSet_50,76.55%
181,25,0,87.58%,49.72%,False,0,HighRtpSet_50,78.99%
182,25,50.5,88.21%,50.00%,False,0,HighRtpSet_34,110.00%
183,25,5,87.84%,50.27%,False,0,HighRtpSet_46,83.32%
184,25,25,87.91%,50.54%,False,0,HighRtpSet_43,100.21%
185,25,0,87.43%,50.27%,False,0,MidRtpSet_26,82.67%
186,25,50,88.04%,50.54%,False,0,HighRtpSet_34,85.82%
187,25,0,87.57%,50.27%,False,0,MidRtpSet_23,87.47%
188,25,0,87.10%,50.00%,False,0,HighRtpSet_42,84.66%
189,25,625,99.87%,50.26%,False,0,HighRtpSet_31,79.36%
190,25,50,100.39%,50.53%,False,0,HighRtpSet_31,86.13%
191,25,0,99.87%,50.26%,False,0,LowRtpSet_2,110.00%
192,25,0,99.35%,50.00%,False,0,HighRtpSet_50,85.75%
193,25,10,99.04%,50.26%,False,0,HighRtpSet_38,82.42%
194,25,0,98.53%,50.00%,False,0,HighRtpSet_46,82.61%
195,25,0.2,98.03%,50.26%,False,0,HighRtpSet_47,110.00%
196,25,0,97.53%,50.00%,False,0,LowRtpSet_4,65.00%
197,25,0,97.03%,49.75%,False,0,MidRtpSet_28,109.33%
198,25,50,97.55%,50.00%,False,0,LowRtpSet_1,77.82%
199,25,0,97.06%,49.75%,False,0,HighRtpSet_44,61.10%
200,25,0,96.58%,49.50%,False,0,HighRtpSet_39,62.07%
